city,region,country,country_code,latitude,longitude
Sydney,New South Wales,Australia,AUS,-33.8650,151.2094
Melbourne,Victoria,Australia,AUS,-37.8136,144.9631
Brisbane,Queensland,Australia,AUS,-27.4678,153.0281
Perth,Western Australia,Australia,AUS,-31.9522,115.8589
Adelaide,South Australia,Australia,AUS,-34.9289,138.6011
Canberra,Australian Capital Territory,Australia,AUS,-35.2931,149.1269
Gold Coast,Queensland,Australia,AUS,-28.0167,153.4000
Cranbourne,Victoria,Australia,AUS,-38.0996,145.2834
Newcastle,New South Wales,Australia,AUS,-32.9167,151.7500
Wollongong,New South Wales,Australia,AUS,-34.4331,150.8831
Geelong,Victoria,Australia,AUS,-38.1500,144.3500
Hobart,Tasmania,Australia,AUS,-42.8806,147.3250
Townsville,Queensland,Australia,AUS,-19.2564,146.8183
Ipswich,Queensland,Australia,AUS,-27.6167,152.7667
Cairns,Queensland,Australia,AUS,-16.9303,145.7703
Darwin,Northern Territory,Australia,AUS,-12.4381,130.8411
Toowoomba,Queensland,Australia,AUS,-27.5667,151.9500
Ballarat,Victoria,Australia,AUS,-37.5500,143.8500
Caloundra,Queensland,Australia,AUS,-26.7986,153.1289
Campbelltown,New South Wales,Australia,AUS,-34.0733,150.8261
Leopold,Victoria,Australia,AUS,-38.1892,144.4644
Corinda,Queensland,Australia,AUS,-27.4833,153.1000
Bendigo,Victoria,Australia,AUS,-36.7500,144.2667
Launceston,Tasmania,Australia,AUS,-41.4419,147.1450
Mackay,Queensland,Australia,AUS,-21.1411,149.1861
Rockhampton,Queensland,Australia,AUS,-23.3750,150.5117
Maitland,New South Wales,Australia,AUS,-32.7167,151.5500
Bunbury,Western Australia,Australia,AUS,-33.3333,115.6333
Coffs Harbour,New South Wales,Australia,AUS,-30.3022,153.1189
Bundaberg,Queensland,Australia,AUS,-24.8500,152.3500
Wagga Wagga,New South Wales,Australia,AUS,-35.1189,147.3689
Hervey Bay,Queensland,Australia,AUS,-25.2853,152.8728
Shepparton,Victoria,Australia,AUS,-36.3833,145.4000
Albury,New South Wales,Australia,AUS,-36.0806,146.9158
Port Macquarie,New South Wales,Australia,AUS,-31.4333,152.9000
Pakenham,Victoria,Australia,AUS,-38.0712,145.4878
Tamworth,New South Wales,Australia,AUS,-31.0833,150.9167
Orange,New South Wales,Australia,AUS,-33.2833,149.1000
Dubbo,New South Wales,Australia,AUS,-32.2569,148.6011
Bathurst,New South Wales,Australia,AUS,-33.4200,149.5778
Geraldton,Western Australia,Australia,AUS,-28.7744,114.6089
Sunbury,Victoria,Australia,AUS,-37.5811,144.7139
Nowra,New South Wales,Australia,AUS,-34.8833,150.6000
Frankston,Victoria,Australia,AUS,-38.1580,145.1350
Warrnambool,Victoria,Australia,AUS,-38.3833,142.4833
Queanbeyan,New South Wales,Australia,AUS,-35.3533,149.2342
Wodonga,Victoria,Australia,AUS,-36.1214,146.8881
Albany,Western Australia,Australia,AUS,-35.0228,117.8814
Gladstone,Queensland,Australia,AUS,-23.8489,151.2625
Mildura,Victoria,Australia,AUS,-34.1889,142.1583
Southport,Queensland,Australia,AUS,-27.9667,153.4000
Dandenong,Victoria,Australia,AUS,-37.9810,145.2150
Alice Springs,Northern Territory,Australia,AUS,-23.7000,133.8667
Mount Gambier,South Australia,Australia,AUS,-37.8294,140.7828
Kalgoorlie,Western Australia,Australia,AUS,-30.7489,121.4658
Lismore,New South Wales,Australia,AUS,-28.8167,153.2833
Quakers Hill,New South Wales,Australia,AUS,-33.7344,150.8789
Ballina,New South Wales,Australia,AUS,-28.8333,153.5333
Taree,New South Wales,Australia,AUS,-31.9000,152.4500
Gawler,South Australia,Australia,AUS,-34.5981,138.7450
Maryborough,Queensland,Australia,AUS,-25.5375,152.7019
Caboolture,Queensland,Australia,AUS,-27.0667,152.9670
Traralgon,Victoria,Australia,AUS,-38.1958,146.5403
Armidale,New South Wales,Australia,AUS,-30.5000,151.6500
Busselton,Western Australia,Australia,AUS,-33.6478,115.3458
Goulburn,New South Wales,Australia,AUS,-34.7547,149.6186
Cessnock,New South Wales,Australia,AUS,-32.8342,151.3555
Devonport,Tasmania,Australia,AUS,-41.1806,146.3464
Whyalla,South Australia,Australia,AUS,-33.0333,137.5667
Bacchus Marsh,Victoria,Australia,AUS,-37.6750,144.4389
Gympie,Queensland,Australia,AUS,-26.1900,152.6655
Griffith,New South Wales,Australia,AUS,-34.2900,146.0400
Grafton,New South Wales,Australia,AUS,-29.6833,152.9333
Kwinana,Western Australia,Australia,AUS,-32.2394,115.7702
Burnie,Tasmania,Australia,AUS,-41.0636,145.8753
Yeppoon,Queensland,Australia,AUS,-23.1333,150.7333
Wangaratta,Victoria,Australia,AUS,-36.3583,146.3125
Mount Eliza,Victoria,Australia,AUS,-38.1890,145.0920
Murray Bridge,South Australia,Australia,AUS,-35.1170,139.2670
Narangba,Queensland,Australia,AUS,-27.2015,152.9655
Mount Isa,Queensland,Australia,AUS,-20.7333,139.5000
Broken Hill,New South Wales,Australia,AUS,-31.9567,141.4678
Banora Point,New South Wales,Australia,AUS,-28.2225,153.5386
Nerang,Queensland,Australia,AUS,-27.9956,153.3220
Lara,Victoria,Australia,AUS,-38.0167,144.4167
Horsham,Victoria,Australia,AUS,-36.7167,142.2000
Mount Barker,South Australia,Australia,AUS,-35.0667,138.8500
Port Lincoln,South Australia,Australia,AUS,-34.7322,135.8586
Karratha,Western Australia,Australia,AUS,-20.7364,116.8464
Singleton,New South Wales,Australia,AUS,-32.5667,151.1697
Warwick,Queensland,Australia,AUS,-28.2152,152.0352
Echuca,Victoria,Australia,AUS,-36.1333,144.7500
Ulladulla,New South Wales,Australia,AUS,-35.3486,150.4678
Kempsey,New South Wales,Australia,AUS,-31.0833,152.8333
Ulverstone,Tasmania,Australia,AUS,-41.1667,146.1667
Barwon Heads,Victoria,Australia,AUS,-38.2500,144.5167
Australind,Western Australia,Australia,AUS,-33.2800,115.7260
Sale,Victoria,Australia,AUS,-38.1000,147.0667
Rochedale,Queensland,Australia,AUS,-27.5952,153.1233
Port Pirie,South Australia,Australia,AUS,-33.1858,138.0169
Morwell,Victoria,Australia,AUS,-38.2333,146.4000
