city,region,country,country_code,latitude,longitude
New York,New York,United States,USA,40.6943,-73.9249
Los Angeles,California,United States,USA,34.1139,-118.4068
Chicago,Illinois,United States,USA,41.8373,-87.6862
Miami,Florida,United States,USA,25.7839,-80.2102
Dallas,Texas,United States,USA,32.7936,-96.7662
Philadelphia,Pennsylvania,United States,USA,40.0077,-75.1339
Houston,Texas,United States,USA,29.7863,-95.3889
Atlanta,Georgia,United States,USA,33.7627,-84.4224
Washington,District of Columbia,United States,USA,38.9047,-77.0163
Boston,Massachusetts,United States,USA,42.3188,-71.0846
Phoenix,Arizona,United States,USA,33.5722,-112.0891
Seattle,Washington,United States,USA,47.6211,-122.3244
San Francisco,California,United States,USA,37.7562,-122.443
Detroit,Michigan,United States,USA,42.3834,-83.1024
San Diego,California,United States,USA,32.8312,-117.1225
Minneapolis,Minnesota,United States,USA,44.9635,-93.2678
Tampa,Florida,United States,USA,27.9942,-82.4451
Denver,Colorado,United States,USA,39.7621,-104.8759
Brooklyn,New York,United States,USA,40.6501,-73.9496
Queens,New York,United States,USA,40.7498,-73.7976
Riverside,California,United States,USA,33.9381,-117.3948
Baltimore,Maryland,United States,USA,39.3051,-76.6144
Las Vegas,Nevada,United States,USA,36.2333,-115.2654
Portland,Oregon,United States,USA,45.5372,-122.65
San Antonio,Texas,United States,USA,29.4658,-98.5253
St. Louis,Missouri,United States,USA,38.6358,-90.2451
Sacramento,California,United States,USA,38.5667,-121.4683
Orlando,Florida,United States,USA,28.4772,-81.3369
San Jose,California,United States,USA,37.3019,-121.8486
Cleveland,Ohio,United States,USA,41.4767,-81.6804
Pittsburgh,Pennsylvania,United States,USA,40.4396,-79.9762
Austin,Texas,United States,USA,30.3004,-97.7522
Cincinnati,Ohio,United States,USA,39.1413,-84.5061
Kansas City,Missouri,United States,USA,39.1239,-94.5541
Manhattan,New York,United States,USA,40.7834,-73.9662
Indianapolis,Indiana,United States,USA,39.7771,-86.1458
Columbus,Ohio,United States,USA,39.9862,-82.985
Charlotte,North Carolina,United States,USA,35.208,-80.8304
Virginia Beach,Virginia,United States,USA,36.7335,-76.0435
Bronx,New York,United States,USA,40.8501,-73.8662
Milwaukee,Wisconsin,United States,USA,43.0642,-87.9673
Providence,Rhode Island,United States,USA,41.823,-71.4187
Jacksonville,Florida,United States,USA,30.3322,-81.6749
Salt Lake City,Utah,United States,USA,40.7777,-111.9306
Nashville,Tennessee,United States,USA,36.1715,-86.7843
Richmond,Virginia,United States,USA,37.5295,-77.4756
Memphis,Tennessee,United States,USA,35.1046,-89.9773
Raleigh,North Carolina,United States,USA,35.8325,-78.6435
New Orleans,Louisiana,United States,USA,30.0687,-89.9288
Louisville,Kentucky,United States,USA,38.1663,-85.6485
Oklahoma City,Oklahoma,United States,USA,35.4676,-97.5136
Bridgeport,Connecticut,United States,USA,41.1918,-73.1953
Buffalo,New York,United States,USA,42.9016,-78.8487
Fort Worth,Texas,United States,USA,32.7811,-97.3473
Hartford,Connecticut,United States,USA,41.7661,-72.6834
Tucson,Arizona,United States,USA,32.1545,-110.8782
Omaha,Nebraska,United States,USA,41.2627,-96.0522
El Paso,Texas,United States,USA,31.8479,-106.4309
Honolulu,Hawaii,United States,USA,21.3294,-157.846
McAllen,Texas,United States,USA,26.2273,-98.2471
Hempstead,New York,United States,USA,40.6629,-73.6089
Albuquerque,New Mexico,United States,USA,35.1053,-106.6464
Birmingham,Alabama,United States,USA,33.5277,-86.7987
Sarasota,Florida,United States,USA,27.3386,-82.5431
Dayton,Ohio,United States,USA,39.7797,-84.1998
Rochester,New York,United States,USA,43.168,-77.6162
Fresno,California,United States,USA,36.7831,-119.7941
Allentown,Pennsylvania,United States,USA,40.5961,-75.4756
Tulsa,Oklahoma,United States,USA,36.1284,-95.9042
Cape Coral,Florida,United States,USA,26.6446,-81.9956
Concord,California,United States,USA,37.9722,-122.0016
Colorado Springs,Colorado,United States,USA,38.8674,-104.7606
Charleston,South Carolina,United States,USA,32.8153,-79.9628
Springfield,Massachusetts,United States,USA,42.1155,-72.5395
Grand Rapids,Michigan,United States,USA,42.962,-85.6562
Mission Viejo,California,United States,USA,33.6095,-117.655
Albany,New York,United States,USA,42.6664,-73.7987
Knoxville,Tennessee,United States,USA,35.9692,-83.9496
Bakersfield,California,United States,USA,35.3529,-119.0359
Ogden,Utah,United States,USA,41.2278,-111.9682
Baton Rouge,Louisiana,United States,USA,30.4418,-91.131
Akron,Ohio,United States,USA,41.0798,-81.5219
New Haven,Connecticut,United States,USA,41.3112,-72.9246
Columbia,South Carolina,United States,USA,34.0376,-80.9037
Mesa,Arizona,United States,USA,33.4017,-111.718
Palm Bay,Florida,United States,USA,27.955,-80.6627
Provo,Utah,United States,USA,40.2457,-111.6457
Worcester,Massachusetts,United States,USA,42.2705,-71.8079
Murrieta,California,United States,USA,33.572,-117.1909
Greenville,South Carolina,United States,USA,34.8353,-82.3647
Brookhaven,New York,United States,USA,40.8321,-72.9518
Wichita,Kansas,United States,USA,37.6896,-97.3442
Toledo,Ohio,United States,USA,41.6639,-83.5822
Staten Island,New York,United States,USA,40.5834,-74.1496
Des Moines,Iowa,United States,USA,41.5725,-93.6105
Long Beach,California,United States,USA,33.7981,-118.1675
Port St. Lucie,Florida,United States,USA,27.2796,-80.3883
Denton,Texas,United States,USA,33.2176,-97.1419
Madison,Wisconsin,United States,USA,43.0826,-89.3931
Reno,Nevada,United States,USA,39.5497,-119.8483
Harrisburg,Pennsylvania,United States,USA,40.2752,-76.8843
Little Rock,Arkansas,United States,USA,34.7256,-92.3576
Oakland,California,United States,USA,37.7903,-122.2165
Durham,North Carolina,United States,USA,35.9794,-78.9031
Winston-Salem,North Carolina,United States,USA,36.1029,-80.2611
Bonita Springs,Florida,United States,USA,26.3559,-81.7861
Indio,California,United States,USA,33.7346,-116.2346
Palm Coast,Florida,United States,USA,29.5392,-81.246
Chattanooga,Tennessee,United States,USA,35.0657,-85.2488
Spokane,Washington,United States,USA,47.6671,-117.433
Syracuse,New York,United States,USA,43.0409,-76.1438
Lancaster,Pennsylvania,United States,USA,40.0421,-76.3012
Arlington,Texas,United States,USA,32.6998,-97.125
Stockton,California,United States,USA,37.9765,-121.3109
